instruction,input,output
의료용어 설명하기,Diagnosis,진단으로 환자의 질병 상태를 판단하는 과정
의료용어 설명하기,Prognosis,예후로 질병의 진행 및 결과에 대한 예측
의료용어 설명하기,Symptom,증상으로 환자가 느끼는 주관적 이상 상태
의료용어 설명하기,Sign,징후로 의사가 관찰할 수 있는 객관적 상태
의료용어 설명하기,Therapy,치료로 질병을 개선하거나 제거하는 과정
의료용어 설명하기,Prescription,처방으로 의사가 약물이나 치료를 지시하는 것
의료용어 설명하기,Medication,약물로 질병 치료에 사용되는 의약품
의료용어 설명하기,Antibiotic,항생제로 세균 감염을 치료하는 약물
의료용어 설명하기,Vaccine,백신으로 면역을 형성하여 질병을 예방하는 물질
의료용어 설명하기,Immunity,면역으로 질병에 저항하는 신체 능력
의료용어 설명하기,Infection,감염으로 병원체가 체내에 침입하여 증식하는 상태
의료용어 설명하기,Inflammation,염증으로 조직이 손상되어 나타나는 반응
의료용어 설명하기,Chronic,만성으로 장기간 지속되는 상태
의료용어 설명하기,Acute,급성으로 갑작스럽고 짧게 발생하는 상태
의료용어 설명하기,Surgery,수술로 외과적 방법으로 질병을 치료하는 과정
의료용어 설명하기,Anesthesia,마취로 통증을 느끼지 않게 하는 상태
의료용어 설명하기,ICU,중환자실로 위중한 환자를 집중 치료하는 병동
의료용어 설명하기,Emergency,응급으로 즉각적인 치료가 필요한 상태
의료용어 설명하기,Vital Signs,활력징후로 체온·맥박·호흡·혈압 등의 기본 생명 지표
의료용어 설명하기,Blood Pressure,혈압으로 혈액이 혈관 벽에 가하는 압력
의료용어 설명하기,Heart Rate,심박수로 심장이 1분 동안 뛰는 횟수
의료용어 설명하기,Respiration Rate,호흡수로 1분 동안 호흡하는 횟수
의료용어 설명하기,Glucose,혈당으로 혈액 내 포도당 농도
의료용어 설명하기,Cholesterol,콜레스테롤로 혈액 내 지방 성분
의료용어 설명하기,Tumor,종양으로 비정상적으로 증식한 조직
의료용어 설명하기,Cancer,암으로 악성 종양이 성장하고 전이하는 질병
의료용어 설명하기,Metastasis,전이로 암세포가 다른 부위로 퍼지는 현상
의료용어 설명하기,Radiology,영상의학으로 X-ray, CT 등을 이용한 진단 분야
의료용어 설명하기,Pathology,병리학으로 질병의 원인과 변화를 연구하는 분야
의료용어 설명하기,Rehabilitation,재활로 기능 회복을 위한 치료 과정
