instruction,input,output
제조용어 설명하기,Lean Manufacturing,낭비를 최소화하고 효율을 극대화하는 생산 방식
제조용어 설명하기,Six Sigma,품질 개선을 위해 결함을 줄이는 데이터 기반 방법론
제조용어 설명하기,Just In Time,필요한 시점에 필요한 만큼만 생산하는 방식
제조용어 설명하기,Production Line,제품을 순차적으로 조립하는 생산 라인
제조용어 설명하기,Assembly,부품을 조립하여 완제품을 만드는 과정
제조용어 설명하기,Quality Control,제품 품질을 유지하기 위한 검사 및 관리 활동
제조용어 설명하기,Quality Assurance,품질 보증을 위한 체계적 관리 프로세스
제조용어 설명하기,Supply Chain,원재료부터 고객까지의 전체 공급 흐름
제조용어 설명하기,Inventory,재고로 보유 중인 원자재 및 제품
제조용어 설명하기,Lead Time,주문부터 납품까지 걸리는 시간
제조용어 설명하기,Cycle Time,한 제품을 생산하는 데 걸리는 시간
제조용어 설명하기,Throughput,일정 시간 내 생산량
제조용어 설명하기,Capacity,생산설비가 처리할 수 있는 최대 생산량
제조용어 설명하기,OEE,설비종합효율로 설비의 가동률·성능·품질을 종합한 지표
제조용어 설명하기,Downtime,설비가 멈춰 있는 시간
제조용어 설명하기,Preventive Maintenance,고장을 예방하기 위한 사전 유지보수
제조용어 설명하기,Corrective Maintenance,고장 발생 후 수행하는 수리 작업
제조용어 설명하기,Automation,자동화로 인간 개입을 줄이고 기계로 생산 수행
제조용어 설명하기,PLC,산업용 제어장치로 설비를 자동 제어하는 컴퓨터
제조용어 설명하기,CNC,컴퓨터 수치제어로 기계를 정밀하게 제어하는 기술
제조용어 설명하기,CAD,컴퓨터를 이용한 설계 시스템
제조용어 설명하기,CAM,컴퓨터를 이용한 제조 공정 제어 시스템
제조용어 설명하기,ERP,기업 자원을 통합 관리하는 시스템
제조용어 설명하기,MRP,자재 소요 계획으로 생산에 필요한 자재를 계산하는 시스템
제조용어 설명하기,BOM,제품을 구성하는 부품 목록
제조용어 설명하기,Work Order,작업 지시서로 생산 작업을 지시하는 문서
제조용어 설명하기,Process Optimization,공정 최적화로 생산 효율을 높이는 활동
제조용어 설명하기,Defect,불량으로 품질 기준에 맞지 않는 제품
제조용어 설명하기,Rework,불량 제품을 다시 수정하는 작업
제조용어 설명하기,Kaizen,지속적인 개선을 통해 생산성을 향상시키는 활동
