instruction,input,output
운동용어 설명하기,Cardio,심폐 지구력을 향상시키는 유산소 운동
운동용어 설명하기,Strength Training,근력을 향상시키기 위한 저항 운동
운동용어 설명하기,Flexibility,유연성으로 관절의 가동 범위 능력
운동용어 설명하기,Endurance,지구력으로 오랜 시간 운동을 지속하는 능력
운동용어 설명하기,HIIT,고강도 인터벌 트레이닝으로 짧은 시간 고강도 운동 반복
운동용어 설명하기,Repetition,반복 횟수로 한 동작을 수행한 횟수
운동용어 설명하기,Set,세트로 반복 동작의 묶음 단위
운동용어 설명하기,Rest Time,휴식 시간으로 세트 사이 회복 시간
운동용어 설명하기,One Rep Max,1회 최대 중량으로 한 번 들 수 있는 최대 무게
운동용어 설명하기,Bodyweight Training,자신의 체중을 이용한 운동
운동용어 설명하기,Warm Up,운동 전 몸을 준비시키는 준비 운동
운동용어 설명하기,Cool Down,운동 후 몸을 안정시키는 마무리 운동
운동용어 설명하기,DOMS,지연성 근육통으로 운동 후 발생하는 근육 통증
운동용어 설명하기,Progressive Overload,점진적 과부하로 점차 운동 강도를 높이는 원칙
운동용어 설명하기,Compound Exercise,여러 관절을 사용하는 복합 운동
운동용어 설명하기,Isolation Exercise,특정 근육만 사용하는 고립 운동
운동용어 설명하기,Squat,하체를 강화하는 대표적인 운동
운동용어 설명하기,Deadlift,전신 근력을 강화하는 바벨 운동
운동용어 설명하기,Bench Press,가슴 근육을 강화하는 운동
운동용어 설명하기,Pull Up,상체를 들어 올리는 등 근육 운동
운동용어 설명하기,Push Up,팔과 가슴을 사용하는 맨몸 운동
운동용어 설명하기,Lunge,하체 균형과 근력을 강화하는 운동
운동용어 설명하기,Plank,코어 근육을 강화하는 정적 운동
운동용어 설명하기,BMI,체질량지수로 체중과 키를 이용한 비만 지표
운동용어 설명하기,Calorie,에너지 단위로 음식과 운동에서 사용
운동용어 설명하기,Basal Metabolic Rate,기초대사량으로 생명 유지에 필요한 최소 에너지
운동용어 설명하기,Cutting,체지방을 줄이는 운동 및 식단 단계
운동용어 설명하기,Bulking,근육량 증가를 위한 고열량 섭취 단계
운동용어 설명하기,Form,운동 자세로 정확한 동작 수행 방법
운동용어 설명하기,Recovery,회복으로 운동 후 근육 재생 과정
