instruction,input,output
국방용어 설명하기,ROE,교전수칙(Rules of Engagement)으로 군이 적과 교전할 때 따라야 하는 규칙
국방용어 설명하기,C4ISR,지휘·통제·통신·컴퓨터·정보·감시·정찰을 통합한 군사 체계
국방용어 설명하기,AWACS,공중조기경보통제기로 공중에서 적 항공기와 미사일을 탐지하고 지휘 수행
국방용어 설명하기,Kill Chain,적의 공격 징후 탐지부터 선제 타격까지 수행하는 군사 대응 체계
국방용어 설명하기,KAMD,한국형 미사일 방어체계로 적 미사일을 탐지 및 요격하는 시스템
국방용어 설명하기,GPS,위성을 이용한 위치정보 제공 시스템
국방용어 설명하기,EMP,전자기 펄스를 이용해 전자장비를 무력화하는 공격 방식
국방용어 설명하기,Stealth,레이더 탐지를 최소화하는 기술 또는 항공기
국방용어 설명하기,Sortie,항공기의 출격 횟수
국방용어 설명하기,Friendly Fire,아군이 아군을 오인 공격하는 사고
국방용어 설명하기,UAV,무인항공기로 사람이 탑승하지 않고 원격 또는 자동으로 운용
국방용어 설명하기,IED,급조폭발물로 비정규전에서 사용되는 폭발 장치
국방용어 설명하기,ASW,대잠수함전으로 적 잠수함을 탐지 및 공격하는 작전
국방용어 설명하기,EW,전자전으로 전자기 스펙트럼을 이용한 전투 방식
국방용어 설명하기,Joint Operation,육해공군이 함께 수행하는 합동 작전
국방용어 설명하기,Logistics,군수지원으로 보급·수송·정비 등 후방 지원 활동
국방용어 설명하기,Firepower,화력으로 무기 체계가 발휘하는 공격 능력
국방용어 설명하기,Reconnaissance,정찰로 적의 정보 수집 활동
국방용어 설명하기,Camouflage,위장으로 적의 탐지를 피하기 위한 기술
국방용어 설명하기,Air Superiority,제공권으로 공중에서의 우세 확보 상태
국방용어 설명하기,Rules of Engagement,교전수칙으로 무력 사용 기준을 규정한 지침
국방용어 설명하기,Theater of Operations,작전지역으로 군사작전이 수행되는 특정 지역
국방용어 설명하기,Force Multiplier,전투력 증강 요소로 소수 병력으로 큰 효과를 내게 하는 요소
국방용어 설명하기,Deterrence,억제력으로 적의 공격 의지를 사전에 차단하는 능력
국방용어 설명하기,Amphibious Operation,상륙작전으로 해상에서 육상으로 병력을 투입하는 작전
국방용어 설명하기,Chain of Command,지휘계통으로 명령 전달 체계
국방용어 설명하기,Precision Strike,정밀타격으로 목표를 정확히 타격하는 공격 방식
국방용어 설명하기,Countermeasure,대응책으로 적의 공격이나 위협에 대한 방어 수단
국방용어 설명하기,Battlefield,전장으로 전투가 이루어지는 장소
국방용어 설명하기,Surveillance,감시로 지속적으로 적을 관찰하는 활동
