instruction,input,output
금융용어 설명하기,Inflation,인플레이션으로 전반적인 물가가 지속적으로 상승하는 현상
금융용어 설명하기,Deflation,디플레이션으로 물가가 지속적으로 하락하는 현상
금융용어 설명하기,Interest Rate,이자율로 돈을 빌리거나 맡길 때 적용되는 비율
금융용어 설명하기,APR,연이율로 대출이나 투자에 적용되는 연간 이자 비율
금융용어 설명하기,Compound Interest,복리로 이자에 이자가 붙는 방식
금융용어 설명하기,Principal,원금으로 이자가 계산되는 기준 금액
금융용어 설명하기,Liquidity,유동성으로 자산을 현금으로 쉽게 전환할 수 있는 정도
금융용어 설명하기,Asset,자산으로 경제적 가치를 지닌 재산
금융용어 설명하기,Liability,부채로 갚아야 할 금전적 의무
금융용어 설명하기,Equity,자본으로 자산에서 부채를 뺀 순자산
금융용어 설명하기,Diversification,분산투자로 위험을 줄이기 위해 여러 자산에 투자하는 전략
금융용어 설명하기,Portfolio,포트폴리오로 투자자가 보유한 자산의 구성
금융용어 설명하기,Stock,주식으로 기업의 소유권 일부를 나타내는 증권
금융용어 설명하기,Bond,채권으로 정부나 기업이 자금을 조달하기 위해 발행하는 증서
금융용어 설명하기,Dividend,배당금으로 기업이 이익을 주주에게 분배하는 금액
금융용어 설명하기,Capital Gain,자본이득으로 자산 가격 상승에 따른 수익
금융용어 설명하기,Bear Market,약세장으로 가격이 지속적으로 하락하는 시장
금융용어 설명하기,Bull Market,강세장으로 가격이 지속적으로 상승하는 시장
금융용어 설명하기,Hedge,헤지로 위험을 줄이기 위한 투자 전략
금융용어 설명하기,Leverage,레버리지로 빌린 자금을 활용해 투자 수익을 확대하는 방식
금융용어 설명하기,Margin,마진으로 차입 투자 시 필요한 최소 자기자본
금융용어 설명하기,ETF,상장지수펀드로 주식처럼 거래되는 펀드
금융용어 설명하기,Mutual Fund,뮤추얼펀드로 여러 투자자의 자금을 모아 운용하는 펀드
금융용어 설명하기,Index,지수로 시장의 전체 흐름을 나타내는 지표
금융용어 설명하기,Credit Score,신용점수로 개인의 신용도를 평가한 수치
금융용어 설명하기,Default,채무불이행으로 빚을 갚지 못하는 상태
금융용어 설명하기,Volatility,변동성으로 가격이 변하는 정도
금융용어 설명하기,ROI,투자수익률로 투자 대비 수익 비율
금융용어 설명하기,Market Cap,시가총액으로 기업의 전체 주식 가치
금융용어 설명하기,IPO,기업공개로 비상장 기업이 처음으로 주식을 공개하는 과정
